DISTRITO,CASILLA,MUNICIPIO,DOMICILIO
1,331B1,ATARJEA,"PLAZA PRINCIPAL, SIN NÚMERO, ZONA CENTRO, ATARJEA, 37940"
1,332B1,ATARJEA,"CALLE PRINCIPAL, SIN NÚMERO, LOCALIDAD EL DURAZNO, ATARJEA, 37940"
1,332E1,ATARJEA,"DOMICILIO CONOCIDO, SIN  NÚMERO, LOCALIDAD MANGAS CUATAS, ATARJEA, 37940"
1,332E2,ATARJEA,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EL TORO, ATARJEA, 37940"
1,333B1,ATARJEA,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SAN ANTÓN, ATARJEA, 37940"
1,333E1,ATARJEA,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EL CARRICILLO, ATARJEA, 37940"
1,333E1,ATARJEA,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EL CARRICILLO, ATARJEA, 37940"
1,334B1,ATARJEA,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LOS ÁLAMOS, ATARJEA, 37940"
1,335B1,ATARJEA,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD CHARCAS, ATARJEA, 37940"
1,335C1,ATARJEA,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD CHARCAS, ATARJEA, 37940"
1,1894B1,OCAMPO,"PRIVADA CUITLAHUAC, SIN NÚMERO, ZONA CENTRO OCAMPO, 37640"
1,1894C1,OCAMPO,"PRIVADA CUITLAHUAC, SIN NÚMERO, ZONA CENTRO OCAMPO, 37640"
1,1895B1,OCAMPO,"AVENIDA HIDALGO, SIN NÚMERO ESQUINA CON ALAMEDA, ZONA CENTRO, OCAMPO, 37640"
1,1895C1,OCAMPO,"AVENIDA HIDALGO, SIN NÚMERO ESQUINA CON ALAMEDA, ZONA CENTRO, OCAMPO, 37640"
1,1895C2,OCAMPO,"AVENIDA HIDALGO, SIN NÚMERO ESQUINA CON ALAMEDA, ZONA CENTRO, OCAMPO, 37640"
1,1896B1,OCAMPO,"CALLE EMILIANO ZAPATA, NÚMERO 603, COLONIA BARRIO DEL REFUGIO,  OCAMPO, 37640"
1,1896C1,OCAMPO,"CALLE EMILIANO ZAPATA, NÚMERO 603, COLONIA BARRIO DEL REFUGIO,  OCAMPO, 37640"
1,1897B1,OCAMPO,"AVENIDA REVOLUCIÓN, SIN NÚMERO, COLONIA SAN JUAN BOSCO, OCAMPO, 37640"
1,1897C1,OCAMPO,"AVENIDA REVOLUCIÓN, SIN NÚMERO, COLONIA SAN JUAN BOSCO, OCAMPO, 37640"
1,1898B1,OCAMPO,"CALLE JUAN DE LA BARRERA, SIN NÚMERO, LOCALIDAD SAN FRANCISCO, OCAMPO, 37640"
1,1899B1,OCAMPO,"CALLE HIDALGO, SIN NÚMERO, LOCALIDAD GACHUPINES, OCAMPO, 37631"
1,1899C1,OCAMPO,"CALLE HIDALGO, SIN NÚMERO, LOCALIDAD GACHUPINES, OCAMPO, 37631"
1,1900B1,OCAMPO,"CALLE MORELOS, SIN NÚMERO, LOCALIDAD EL MEZQUITE, OCAMPO,   37640"
1,1901B1,OCAMPO,"CALLE GUERRERO, NÚMERO 2, LOCALIDAD LA ESCONDIDA, OCAMPO, 37632"
1,1901C1,OCAMPO,"CALLE GUERRERO, NÚMERO 2, LOCALIDAD LA ESCONDIDA, OCAMPO, 37632"
1,1901E1,OCAMPO,"PRIVADA NAYARIT, SIN NÚMERO, LOCALIDAD VEINTE DE NOVIEMBRE, OCAMPO, 37632"
1,1902B1,OCAMPO,"CALLE DEL ARROLLO, SIN NÚMERO, LOCALIDAD EL TROPEZÓN, OCAMPO,   37643"
1,1903B1,OCAMPO,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LAGUNA CERCADA, OCAMPO, 37633"
1,1903C1,OCAMPO,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LAGUNA CERCADA, OCAMPO, 37633"
1,1904B1,OCAMPO,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA HACIENDITA, OCAMPO, 37641"
1,1905B1,OCAMPO,"CALLE LUCIANO HERRERA, NÚMERO 10, LOCALIDAD LA TINAJA  OCAMPO, 37641"
1,1905C1,OCAMPO,"CALLE LUCIANO HERRERA, NÚMERO 10, LOCALIDAD LA TINAJA  OCAMPO, 37641"
1,1906B1,OCAMPO,"CALLE LÁZARO CÁRDENAS, SIN NÚMERO, LOCALIDAD LAS TROJES, OCAMPO, 37645"
1,1906C1,OCAMPO,"CALLE LÁZARO CÁRDENAS, SIN NÚMERO, LOCALIDAD LAS TROJES, OCAMPO, 37645"
1,1907B1,OCAMPO,"CALLE BENITO JUÁREZ, NÚMERO 151, LOCALIDAD SANTA BÁRBARA, OCAMPO, 37642"
1,1907C1,OCAMPO,"CALLE BENITO JUÁREZ, NÚMERO 151, LOCALIDAD SANTA BÁRBARA, OCAMPO, 37642"
1,1908B1,OCAMPO,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SANTA BÁRBARA, OCAMPO,   37642"
1,1909B1,OCAMPO,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SAN ISIDRO, OCAMPO,   37642"
1,1910B1,OCAMPO,"CALLE CENTENARIO, SIN NÚMERO, LOCALIDAD IBARRA, OCAMPO,  37633"
1,1910C1,OCAMPO,"CALLE CENTENARIO, SIN NÚMERO, LOCALIDAD IBARRA, OCAMPO,  37633"
1,1911B1,OCAMPO,"CALLE JUÁREZ, SIN NÚMERO, LOCALIDAD EL TORREÓN, OCAMPO, 37640"
1,1911C1,OCAMPO,"CALLE JUÁREZ, SIN NÚMERO, LOCALIDAD EL TORREÓN, OCAMPO, 37640"
1,2347B1,SAN DIEGO DE LA UNION,"CALLE REFORMA, SIN NÚMERO, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2347C1,SAN DIEGO DE LA UNION,"CALLE REFORMA, SIN NÚMERO, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2348B1,SAN DIEGO DE LA UNION,"CALLE ALLENDE, SIN NÚMERO, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2348C1,SAN DIEGO DE LA UNION,"CALLE ALLENDE, SIN NÚMERO, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2349B1,SAN DIEGO DE LA UNION,"CALLE HIDALGO, NÚMERO 92, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2349C1,SAN DIEGO DE LA UNION,"CALLE HIDALGO, NÚMERO 92, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2350B1,SAN DIEGO DE LA UNION,"CALLE MINA, NÚMERO 82, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2350C1,SAN DIEGO DE LA UNION,"CALLE MINA, NÚMERO 82, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2351B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA JAULA, SAN DIEGO DE LA UNIÓN,   37850"
1,2352B1,SAN DIEGO DE LA UNION,"AVENIDA ANTONIO MORENO, SIN NÚMERO, LOCALIDAD PARRITAS, SAN DIEGO DE LA UNIÓN, 37860"
1,2352C1,SAN DIEGO DE LA UNION,"AVENIDA ANTONIO MORENO, SIN NÚMERO, LOCALIDAD PARRITAS, SAN DIEGO DE LA UNIÓN, 37860"
1,2353B1,SAN DIEGO DE LA UNION,"AVENIDA DE LA PAZ, SIN NÚMERO, LOCALIDAD EL COLORADO,  SAN DIEGO DE LA UNIÓN, 37862"
1,2354B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA SAUCEDA, SAN DIEGO DE LA UNIÓN, 37860"
1,2354C1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA SAUCEDA, SAN DIEGO DE LA UNIÓN, 37860"
1,2355B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SAN JUAN PRESA DE SAN FRANCO, SAN DIEGO DE LA UNIÓN, 37850"
1,2356B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EXHACIENDA DE SAN JUAN, SAN DIEGO DE LA UNIÓN, 37860"
1,2356C1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EXHACIENDA DE SAN JUAN, SAN DIEGO DE LA UNIÓN, 37860"
1,2356C2,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EXHACIENDA DE SAN JUAN, SAN DIEGO DE LA UNIÓN, 37860"
1,2357B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD VENADITO Y VARAL, SAN DIEGO DE LA UNIÓN, 37850"
